,English_corrected_title,telugu_corrected_title,School Code
907,SHANTHI NIKETHAN JAGTIAL,"శాంతినికేతన్ పాఠశాల, జగిత్యాల్  ",36032090184
908,NEW MILLEMIUM JAMIKUNAT,"న్యూ మిలినీయం  పాఠశాల, జమ్మికుంట     ",36033301063
909,SHANTHINIKETHAN GODUR,"శాంతినికేతన్ ప్రాథమికోన్నత పాఠశాల, గోదూర్",36030101005
910,MARIA AND GIUSTINA SCHIAPPA ROLI,"మరియా  గియుస్టినా షియాప్పా రోలి,  ప్రొద్దుటూరు, ఖమ్మం    ",36104200906
911,SHARADA KAMANPUR,"శారద ప్రాథమికోన్నత పాఠశాల, కమాన్‌పూర్",36030801508
912,GNANADEEP R GOLLAPALLI,"జ్ఞానదీప్ ఉన్నత పాఠశాల,  ఆర్. గొల్లపల్లి",36034100911
913,GOUTHAM VIDYANIKETHAN,"గౌతం విద్యానికేతన్ పాఠశాల, వెల్లుల  ",36032300504
914,ARAVINDA VIDYANIKETHAN UP,"అరవింద విద్యానికేతన్ ప్రాథమికోన్నత పాఠశాల,  ఆత్మకూర్  ",36032301405
915,TETRAHEDROAN HUZURABAD,"టెట్రాహెడ్రోయాన్  ఉన్నత పాఠశాల, హుజురాబాద్",36034901070
916,TW GOVT AHS ULAVANOOR,"ప్రభుత్వ గిరిజన ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల, ఉలవనూర్  ",36101600205
917,TW GOVT AHS KOYAGUDEM,"ప్రభుత్వ గిరిజన సంక్షేమ  ఆశ్రమ ఉన్నత పాఠశాల, కోయగూడెం  ",36101800449
918,MARGADARSHINI EM,"మార్గదర్శిని ప్రాథమికోన్నత పాఠశాల (ఇంగ్లీష్ మీడియం), జానంపేట     ",36100401812
919,NEW KAKATIYA HUZURABAD,"న్యూ   కాకతీయ ప్రాథమికోన్నత పాఠశాల, హుజురాబాద్",36034901075
920,VIVEKANANDA VIDYANIKETHAN,"వివేకానంద విద్యానికేతన్ పాఠశాల, కరీంనగర్  ",36033696249
921,CARMEL ELKATHURTHI,"కార్మెల్ ఉన్నత పాఠశాల, ఎల్కతుర్తి",36035100509
922,JAWAHARLAL NEHRU MEMORIAL,"జవహర్ లాల్ నెహ్రూ మెమోరియల్ ఉన్నత పాఠశాల, కరీంనగర్  ",36033696197
923,KERALA VARMA CHALOR,"కేరళ వర్మ ప్రాథమికోన్నత పాఠశాల, చల్లూరు",36033400112
924,TSMS KAMALAPUR,"తెలంగాణ మోడల్ పాఠశాల, కమలాపూర్  ",36035000835
925,ST MARY GLOBAL H/S E/M,"సెయింట్ మేరీ గ్లోబల్ ఉన్నత పాఠశాల ( ఇంగ్లీష్ మీడియం), కరీంనగర్    ",36033695217
926,VIVEKANANDA PRODDUTOOR,"వివేకానంద ప్రాథమిక పాఠశాల, ప్రొద్దుటూరు  ",36104200905
927,KAKATIYA JAMIKUNTA,"కాకతీయ ప్రాథమికోన్నత పాఠశాల, జమ్మికుంట     ",36033301047
928,GOWTHAM BRAHMANAWADA,"గౌతం ఉన్నత పాఠశాల, బ్రాహ్మణ్ వాడ ,జగిత్యాల్  ,    ",36032095122
929,TSREIS NERELLA (GIRLS),"తెలంగాణ గురుకుల పాఠశాల, నేరెళ్ళ (బాలికలు)             ",36034401905
930,SRI SHATHAVAHANA VIDYA SA,"శ్రీ శాతవాహన విద్యానికేతన్ పాఠశాల, సిరిసిల్ల     ",36034490758
931,ST THERESA HIGH S,"సెయింట్ థెరిసా  ఉన్నత పాఠశాల, సారపాక   ",36101590806
932,VISHVA SHANTHI SATUPALLI,"విశ్వశాంతి ఉన్నత పాఠశాల, సత్తుపల్లి    ",36102900815
933,MADARASA IMAD-ULOOM GANJ ROAD,"మదరసా ఇమాద్ ఉలూమ్, గంజ్ రోడ్ , జగిత్యాల్     ",36032090170
934,SRI VANI VIDAYANIKETAN,"శ్రీ వాణి విద్యానికేతన్ పాఠశాల, సుల్తానబాద్    ",36033100924
935,"GOVT HS(B)KUNTA ROAD, MAHARAJGUNJ,BEGUM BAZAR","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు) కుంట రోడ్, మహారాజ్‌గంజ్, బేగంబజార్, హైదరాబాద్   ",36050690927
936,SHANTINIKETAN VMADIPLI,"శాంతినికేతన్ విద్యానికేతన్  ప్రాథమికోన్నత పాఠశాల, మాదిపల్లి",36033301904
937,KERALA U.P.S.DHARMAPURI,"కేరళ ప్రాథమికోన్నత పాఠశాల, ధర్మ పురి    ",36030500925
938,TSTWREI KATARAM,"తెలంగాణ గిరిజన సంక్షేమ గురుకుల పాఠశాల, కాటారం    ",36031002606
939,"GOVT HS(G)TIRUMALGIRI, TIRUMALAGIRI.SECUNDERABAD","ప్రభుత్వ ఉన్నత పాఠశాల (బాలికలు), తిరుమల గిరి, సికింద్రాబాద్  ",36050290280
940,TSMS KATHALAPUR,"తెలంగాణ మోడల్ పాఠశాల, కత్లాపూర్  ",36032400415
941,VISWABHARATHI,"విశ్వభారతి ఉన్నత పాఠశాల, సిరిసిల్ల  ",36034490790
942,VIDYA BARATHI RAIKAL,"విద్యా బారతీ ఉన్నత పాఠశాల, రాయికల్  ",36030300927
943,TW GOVT AHSTWDURGAMGOLLAGUDEM,"ప్రభుత్వ గిరిజన సంక్షేమ ఆశ్రమ ఉన్నత పాఠశాల, పెద్ద గొల్లగూడెం",36102800606
944,SRI VIDODAYA JAMIKUNTA,"శ్రీ విద్యోదయ ఉన్నత పాఠశాల, జమ్మికుంట ",36033301064
945,RAINBOW E/M MALLAREDDYPET,"రెయిన్ బో పాఠశాల (ఇంగ్లీష్ మీడియం), మల్లారెడ్డి పేట్  ",36034200804
946,GOVT.HS MAKTHAL,"ప్రభుత్వ ఉన్నత పాఠశాల, మక్తల్  ",36073201312
947,BODHI EDUCATIONAL SOCIETY NARAYANKHED,"బోధి ఎడ్యుకేషనల్ సొసైటీ, నారాయణ్ ఖేడ్  ",36040402057
948,SRI SARASWATHI SHISHU MANINDIR,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, పటాన్ చెరువు   ",36043702208
949,CHAITHANYA BHARATHI TELKAPALLY,"చైతన్య భారతి ఉన్నత పాఠశాల, తెల్కపల్లి",36074200716
950,PRASHANT CHOWDERGUDEM,"ప్రశాంత్ ప్రాథమికోన్నత పాఠశాల, చౌదర్‌గూడెం ",36071100316
951,"TW GOVT. AUPS, GHANPUR","ప్రభుత్వ గిరిజన సంక్షేమ ఆశ్రమ ప్రాథమికోన్నత పాఠశాల, ఘన్‌పూర్ ",36073800912
952,TSMS GUNDUMAL,"తెలంగాణ మోడల్ పాఠశాల, గుండుమల్",36070302210
953,LITTLE SCHLORS TALAKONDAPALLY,"లిటిల్ స్కాలర్స్ ఉన్నత పాఠశాల, తలకొండపల్లి  ",36071501612
954,SRI SARASWATHI SESHU MAND,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, ఇస్మాయిల్ ఖాన్ పేట్    ",36043600909
955,DATTATREYA VM MANTHANGODE,"దత్తాత్రేయ విద్యామందిర్ పాఠశాల, మంతన్ గోడే",36073201331
956,"NICKELS CONVENT, KOTHUR","నికెల్స్ కాన్వెంట్ పాఠశాల, కొత్తూరు    ",36071300610
957,GOVT.HS MAHABUBNAGAR (MG ROAD),"ప్రభుత్వ ఉన్నత పాఠశాల ఎం.జి. రోడ్, మహబూబ్​నగర్     ",36072590820
958,MPHS KONDAREDDIPALLY," మండల్ పరిషత్ ఉన్నత పాఠశాల, కొండారెడ్డిపల్లి  ",36071401101
959,TSSWREIS JRC KAMMADANAM,"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల, కమ్మదానం      ",36071202903
960,VISHWA SHANTHI KOHIR,"విశ్వ శాంతి ప్రాథమికోన్నత పాఠశాల, కోహిర్    ",36043100912
961,TSSWREIS MITTAPALLY(GIRLS),"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలికలు), మిట్టపల్లి        ",36041601207
962,BHAVANI SM NARAYANAPET,"భవాని ఎస్.ఎం. ప్రాథమికోన్నత పాఠశాల, నారాయణపేట",36072990660
963,UJWALA KOTHAKOTA,"ఉజ్వల ఉన్నత పాఠశాల, కొత్తకోట  ",36073600650
964,SRI SARASWATHI SHISHU MANDIR NAGARKURNOOL,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, నాగర్ కర్నూల్   ",36074000324
965,AIDED SRIVANI NAGARKURNOOL,"శ్రీవాణీ ఉన్నత పాఠశాల (ఎయిడెడ్),  నాగర్ కర్నూల్  ",36074000323
966,"SRI SARASWATHI SHISHU MANDIR,TELKAPALLY","శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, తెల్కపల్లి",36074200713
967,VASAVI PUBLIC KANMANUR,"వాసవి పబ్లిక్ ప్రాథమికోన్నత పాఠశాల, కన్మనూరు",36073300206
968,TSMS AKKENPALLY,"తెలంగాణ మోడల్ పాఠశాల, అక్కెనపల్లి  ",36041801504
969,SHARADHA UP HANWADA,"శారద  ప్రాథమికోన్నత పాఠశాల, హన్వాడ  ",36070801507
970,TSREIS WARDNO1,"ప్రభుత్వ గురుకుల ఉన్నత పాఠశాల, వార్డ్ నెంబర్1, మెదక్  ",36041190434
971,SRI PARAMAHAMSA,"శ్రీ పరమహంస ప్రాథమిక పాఠశాల , బాచేపల్లి  ",36040301410
972,SRI VIJETHA MOGALAMADAKA,"శ్రీ విజేత ప్రాథమిక పాఠశాల, మొగలమడక",36070500303
973,SRI SS MANDIR NARAYANAPET,"శ్రీ సరస్వతి శిశుమందిర్ పాఠశాల, నారాయణపేట్  ",36072990649
974,SRI SHARADA WALLABH NAGAR,"శ్రీ శారద ఉన్నత పాఠశాల, వల్లభ నగర్, వనపర్తి  ",36075190772
975,TSMS SHANKARAMPER(R),"తెలంగాణ మోడల్ పాఠశాల, శంకరం పేట్  ",36041201517
976,TSSWREIS SINGOOR,"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల, సింగూర్           ",36043300604
977,TSMS KODAIR,"తెలంగాణ మోడల్ పాఠశాల, కోడేర్     ",36074901112
978,NEW VISWA BARATI GONAPAD,"న్యూ విశ్వభారతీ ప్రాథమికోన్నత పాఠశాల, గోనపడ్   ",36075400702
979,RADIANT CONCEPT WANAPARTHY,"రేడియంట్ కాన్సెప్ట్ ఉన్నత పాఠశాల, వనపర్తి  ",36075190812
980,NEW SUNRISE BADEPALLY,"న్యూ సన్ రైజ్ ఉన్నత పాఠశాల, బాదేపల్లి    ",36072390137
981,ST DON BOSCO SCHOLL,"సెయింట్ డాన్ బాస్కో ఉన్నత పాఠశాల, బొంతపల్లి   ",36043901008
982,SRI WINNERS HANWADA,"శ్రీ విన్నర్స్ ప్రాథమికోన్నత పాఠశాల, హన్వాడ   ",36070801520
983,GOVT.HS VEERANNAPET (TM),"ప్రభుత్వ ఉన్నత పాఠశాల (తెలుగు మీడియం), వీరన్నపేట్, ",36072590823
984,VISWA BARATI VEPUR,"విశ్వ భారతి ప్రాథమిక పాఠశాల, వేపూర్  ",36070800209
985,KIRAN CONV PEDDA ADIRYAL,"కిరణ్ కాన్వెంట్ ప్రాథమిక పాఠశాల, పెద్ద ఆదిర్యాల్    ",36072300706
986,DAMA GOVINDAPPA MALDAKAL,"దామ  గోవిందప్ప ప్రాథమికోన్నత పాఠశాల, మల్దకల్    ",36075601104
987,LITTLE FLOWER WANAPARTHY,"లిటిల్ ఫ్లవర్ ఉన్నత పాఠశాల, వనపర్తి  ",36075190809
988,SANGHAMITRA MODEL NAGARKURNOOL,"సంగ మిత్ర  మోడల్ ప్రాథమికోన్నత పాఠశాల, నాగర్ కర్నూల్  ",36074000335
989,GOVT.HS MARKET LANE NARAYANAPET,"ప్రభుత్వ ఉన్నత పాఠశాల, మార్కెట్ లేన్, నారాయణ్ పేట్    ",36072990641
990,SRI RAGHAVENDRA PEBBAIR,"శ్రీ రాఘవేంద్ర ప్రాథమిక పాఠశాల, పెబ్బేర్    ",36075301106
991,H.J.PEER(UM) INMULNARWA,"హెచ్. జె. పీర్ ఉన్నత పాఠశాల(ఉర్దూ మీడియం), ఇమ్ముల్ నర్వ     ",36071301204
992,MASTERMINDS GADWAL,"మాస్టర్ మైండ్స్ ప్రాథమికోన్నత పాఠశాల, గద్వాల్  ",36075490362
993,MPHS BOINPALLE,"మండల పరిషత్ ఉన్నత పాఠశాల, బోయిన్ పల్లి  ",36072102002
994,TSMS JHARASANGAM,"తెలంగాణ మోడల్ పాఠశాల, ఝరాసంగం   ",36042901615
995,"BHARATI VIDYA NIKETHAM, MAKTHAL","భారతి విద్యానికేతన్  ఉన్నత పాఠశాల, మక్తల్",36073201344
996,CHARVAKA M SC,"చర్వాక ప్రాథమికోన్నత పాఠశాల,  వీరారెడ్డిపల్లి      ",36041502003
997,SRI SARASWATHI SHISHU MANDIR,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, శంకరం పేట్  ",36040602013
998,"MOTHERS LAP KDR NAGAR, WANAPARTHY","మదర్స్  లాప్ ఉన్నత పాఠశాల, కె.డి.ఆర్.నగర్, వనపర్తి       ",36075190805
999,GOVT.HS MARKET ROAD (GIRLS),"ప్రభుత్వ ఉన్నత పాఠశాల (బాలికలు), మార్కెట్ రోడ్, మహాబూబ్‌నగర్ ",36072590825
1000,TSMS DOULTHABAD,"తెలంగాణ మోడల్ పాఠశాల, దౌలతాబాద్",36042200115
1001,"GOVT.HS SHABAZAR, MBNR","ప్రభుత్వ  ఉన్నత పాఠశాల, షా బజార్, మహాబుబ్‌నగర్",36072500933
1002,"MILLAT MODEL HAJIKANPET, NARAYANAPET","మిల్లట్ మోడల్ పాఠశాల, హజికాన్‌పేట్, నారాయణపేట",36072990637
1003,Shishu Vihar High School,"శిశు విహార్ ఉన్నత పాఠశాల, పటాన్‌చెరు",36043702213
1004,VIVEKAVANI KODUR X ROAD,"వివేకవాణి పాఠశాల, కోడూరు ఎక్స్ రోడ్",36072501606
1005,"St.GRACE MODEL, VELJAL","సెయింట్ గ్రేస్ మోడల్ పాఠశాల, వెల్జాల ",36071502314
1006,GNANA BHARATI MONAPPA GUTTA,"జ్ఞాన భారతి ఉన్నత పాఠశాల, మోనప్ప గుట్ట, మహాబుబ్‌నగర్",36072590850
1007,GOVT.HS NAGARKURNOOL,"ప్రభుత్వ  ఉన్నత పాఠశాల, నాగర్‌కర్నూల్",36074000322
1008,TSREIS KHANDI(MINORITIES),"తెలంగాణ గురుకుల పాఠశాల (మైనారిటీస్),  కంది",36043601608
1009,KRISHNAVENI TALENT KKY,"కృష్ణవేణి టాలెంట్ పాఠశాల, కల్వకుర్తి",36072000756
1010,KRISHNAVENI GADWAL,"కృష్ణవేణి టాలెంట్ పాఠశాల, గద్వాల్",36075490373
1011,PRAGATHI VIDYA NAWABPET,"ప్రగతి విద్యా పాఠశాల, నవాబ్‌పేట",36070901318
1012,MARGADARSI MAGANUR,"మార్గదర్శి విద్యాలయం, మగనూర్",36073101203
1013,GOUTHAMI UPPER PRIMARY SC,"గౌతమి ప్రాథమికోన్నత పాఠశాల, పెద్దకంజేర్ల",36043700404
1014,"SRI VIKAS CONVENT, NANDIGAM","శ్రీ వికాస్ కాన్వెంట్ పాఠశాల, నందిగాం",36071301016
1015,SRI VIGNAN PEBBAIR,"శ్రీ విజ్ఞాన్ విద్యాలయం, పెబ్బైర్",36075301122
1016,ALL SAINTS MODEL NAGARKURNOOL,"ఆల్ సెయింట్స్ మోడల్ పాఠశాల, నాగర్‌కర్నూల్",36074000331
1017,SREE SARASWATHI SISU KALWAKURTHY,"శ్రీ సరస్వతీ శిశు మందిర్ పాఠశాల,  కల్వకుర్తి",36072000732
1018,VIVEKANANDA PEDDAMUDANOOR,"వివేకానంద పాఠశాల, పెద్దముద్దునూరు",36074002504
1019,DAYANANDA VM MAKTHAL,"దయానంద విద్యా మందిర్ పాఠశాల, మక్తల్",36073201325
1020,TSSWREIS INSNAPUR(GIRLS),"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలికలు), ఇస్నాపూర్ ",36043600303
1021,SHANTHINIKETHAN EM KOSGI,"శాంతినికేతన్ ఉన్నత పాఠశాల (ఇంగ్లీష్ మీడియం), కోస్గి",36070300816
1022,MADARSA MADEENA,"మదరసా మదీనా పాఠశాల, మెదక్ ",36041190468
1023,GEETHA H.SSHANTINAGAR,"గీత ఉన్నత పాఠశాల, శాంతినగర్, పటాన్‌చెరు",36043790510
1024,ST MARYS KOLLAPUR,"సెయింట్ మేరీస్ ఉన్నత పాఠశాల, కొల్లాపూర్",36076401609
1025,"SAI VIKAS SHADIKANA ROAD, WANAPARTHY","సాయి వికాస్ పాఠశాల, షాదీఖానా రోడ్, వనపర్తి",36075190794
1026,MEDHA CHATOOPALLI,"మేధ ఉన్నత పాఠశాల, ఫరూఖ్‌నగర్",36071290258
1027,MPHS VENKATAPUR (S),"మండల పరిషత్ ఉన్నత పాఠశాల, వెంకటాపూర్ ",36075301503
1028,SRI SARASWATHI KDR NAGAR,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల,  కె.డి.అర్ నగర్, వనపర్తి",36075190771
1029,AS VIDYA VIHAR,"ఎ.ఎస్ విద్యా విహార్ ఉన్నత పాఠశాల, గుమ్మడిదల",36043900909
1030,SRI RAMAKRISHNA GANGAPUR,"శ్రీ రామకృష్ణ పరమహంస పాఠశాల, గంగాపూర్, జడ్చర్ల",36072301505
1031,SRI SARASWATHI SHISU MAND,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, కలబ్‌గూర్",36043600204
1032,ADARSHA VIDYANIKETHAN,"ఆదర్శ విద్యానికేతన్ పాఠశాల, సిద్దిపేట",36041691235
1033,SRI RAMA U P S,"శ్రీ రామ ప్రాథమికోన్నత పాఠశాల, నర్సాపూర్",36044103010
1034,PARAGATI SRIRANGAPUR,"ప్రగతి ఉన్నత పాఠశాల, శ్రీరంగాపూర్",36075300906
1035,,"టెక్ గురుకుల్ పాఠశాల, సేరిపల్లి, బండారం",36042200604
1036,"GOVT.HS MOMINMOHALA,GADWAL","ప్రభుత్వ ఉన్నత పాఠశాల, మోమిన్మోహల్ల, గద్వాల్",36075490342
1037,"GOVT. JR.COLLGE, ADDAKAL","ప్రభుత్వ ఉన్నత పాఠశాల, అడ్డకల్",36072602104
1038,GOVT.HS FAROOQNAGAR,"ప్రభుత్వ ఉన్నత పాఠశాల, ఫరూక్‌నగర్",36071290236
1039,TSSWREIS CHEPYALA(B),"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలురు), చెప్యాల",36041502105
1040,TW GOVT APS G ROMPAID,"తెలంగాణ గిరిజన  ప్రభుత్వ ఆశ్రమ ప్రాథమిక పాఠశాల (బాలికలు), రోమ్పేడు",36101900319
1041,ST. MARYS NEW TOWN,"సెయింట్ మేరీస్ న్యూ టౌన్ పాఠశాల, మహాబూబ్‌నగర్",36072590838
1042,SRI SARASWATI IPPALAPALLY,"శ్రీ సరస్వతి ఇంగ్లీష్ మీడియం పాఠశాల, ఇప్పలపల్లి",36071401005
1043,SRI SARASWATHI MADANAPUR,"శ్రీ సరస్వతి శిషు మందిర్ పాఠశాల, మదనాపూర్",36073600206
1044,NEW VISWA BARATI IEEJA,"న్యూ విశ్వ భారతి పాఠశాల, ఐజ",36075800615
1045,MARIA RANISHANTHI VIDYANI,"మరియా రాణి శాంతి విద్యానికేతన్ పాఠశాల, ఫరూఖ్‌నగర్",36071201603
1046,CHAITHANYA VIDYA LAYAM,"చైతన్య విద్యా లయం, కౌడిపల్లి",36042500607
1047,CHAITANYA BHARATHI ATMAKUR,"చైతన్య భారతి పాఠశాల, ఆత్మకుర్",36073501421
1048,"LITTLE SCHOLARS, KAMALA NEHRU COLONY","లిటిల్ స్కాలర్స్ పాఠశాల, కమల నెహ్రూ కాలనీ, మహాబూబ్‌నగర్",36072590844
1049,ST MARYS KOLLAPUR,"సెయింట్ మేరీస్ ఉన్నత పాఠశాల, కొల్లాపూర్",36076401622
1050,GOOD SHAPARD THIMMAJIPET,"గుడ్ షెపర్డ్ పాఠశాల, తిమ్మజీపేట",36072200911
1051,SRI SARASWATHI BADEPALLY,"శ్రీ సరస్వతి శిషు మందిర్ పాఠశాల, బడేపల్లి",36072390123
1052,BHARATHI TD GUTTA MBNR,"భారతి పాఠశాల, టి.డి గుట్ట, మహాబుబ్‌నగర్",36072590487
1053,TW GOVT AHS TW PERURU Z,"తెలంగాణ గిరిజన ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల, పేరూరు",36100101001
1054,BHAVITHA TALENT JAMALAPUR,"భవిత టాలెంట్ పాఠశాల, జమల్‌పుర్ ",36070702204
1055,SRI SARSWATHI SISHU MANDI,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, సంగారెడ్డి",36043690912
1056,SRI SHANTINIKET PEBBAIR,"శ్రీ శాంతి నికేతన్ పాఠశాల, పెబ్బైర్",36075301132
1057,SRI SAI VIDYA KODAIR,"శ్రీ సాయి విద్యా పాఠశాల, కోడైర్",36074901108
1058,TW GOVT. AHS APPAI PALLY,"తెలంగాణ గిరిజన ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల, అప్పాయి పల్లి",36074701323
1059,TSBCWRIS (GRILS) NAGARKURNOOL," తెలంగాణ బిసి సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలికలు), నాగర్‌కర్నూల్",36074090514
1060,SRI SARASWATHI PEBBAIR,"శ్రీ సరస్వతీ శిశు మందిర్ పాఠశాల, పెబ్బైర్",36075301116
1061,SRI CHAITANYA RAMNAGAR,"శ్రీ చైతన్య టెక్నో పాఠశాల, రాంనగర్,  ఫరూఖ్‌నగర్‌",36071200707
1062,GOVT.HS KOTHAKOTA,"ప్రభుత్వ ఉన్నత పాఠశాల, కొత్తకోట",36073600625
1063,"SRI SARASWATHI SHISHU MANDIR, MBNR","శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, మహాబూబ్‌నగర్",36072500915
1064,"SRI VIGNAN GRAMAR, JUPALLY","శ్రీ విజ్ఞాన్ గ్రామర్ పాఠశాల, జూపల్లి",36071901411
1065,JAGRUTHI PEBBAIR,"జాగృతి పాఠశాల, పెబ్బైర్",36075301111
1066,GANDHI MEMORIAL PEBBAIR,"గాంధీ మెమోరియల్ ఉన్నత పాఠశాల, పెబ్బైర్",36075301110
1067,SRI SAI SHIVA H S,"శ్రీ సాయి శివ ఉన్నత పాఠశాల, పటాన్‌చెరు",36043702212
1068,NEO PRAGATHI,"నియో ప్రగతి పబ్లిక్ పాఠశాల, నారాయణఖేడ్",36040402026
1069,MPHS PEDDAPALLY,"మండల పరిషత్ ఉన్నత పాఠశాల, పెద్దపల్లి, మహాబూబ్‌నగర్",36074201802
1070,MPCPS MANTHATI,"మండల పరిషత్ ప్రాథమిక పాఠశాల(బాల, బాలికలు), మంతటి",36074001101
1071,MADARSA LIL BANNATH ( RASHEEDIYA ) GADWAL,"మదరసా లిల్ బన్నాత్ (రషీడియా) పాఠశాల, గద్వాల్",36075400522
1072,VISHWA SANTI CHARAKONDA,"విశ్వ శాంతి ఉన్నత పాఠశాల, చారకొండ",36071800610
1073,SRIBALAJI KGHS KODANGAL ,"శ్రీ బాలాజీ కె.జి ఉన్నత పాఠశాల, కొడంగల్",36070100721
1074,AL-NOOR NEW TOWN (GIRLS),"ఆల్ నూర్ ఉన్నత  పాఠశాల (బాలికలు), న్యూ టౌన్, మహాబుబ్‌నగర్",36072590848
1075,SRIMALAYALA ASHRAM SHADNAGAR,"శ్రీమలయాళ ఆశ్రమ పాఠశాల, షాద్‌నగర్, ఫరూఖ్‌నగర్",36071290239
1076,PRAGATHI VIDYANIKETHAN,"ప్రగతి విద్యానికేతన్ పాఠశాల, చిన్నకోడూర్",36041701111
1077,BABYMOON HSCHOOL,"బేబీమూన్ ఉన్నత పాఠశాల , సిద్దపేట ",36041691223
1078,SRI SHANTI NIKETAN PADMAVATHI COLONY,"శ్రీ శాంతి నికేతన్ పాఠశాల, పద్మావతి కాలనీ, మహాబూబ్‌నగర్",36072590455
1079,GNYANA JYOTHI VIDHYALAYAM,"జ్ఞానజ్యోతి విద్యాలయం, రైకోడే
",36042701509
1080,NALANDA KALWARALA,"నలంద విద్యాలయం, కల్వరాల",36075202206
1081,SHANTINIKETAN MAKTHAL,"శాంతి నికేతన్ గ్రామార్ పాఠశాల, మక్తల్",36073201322
1082,PANCHAVATI CHRISTIAN PALLY,"పంచవటి విద్యాలయ ఉన్నత పాఠశాల, క్రిస్టియన్ పల్లి, మహాబుబ్‌నగర్",36072591001
1083,AKSHARA VIDHYAMANDIR,"అక్షర విద్యామందిర్ పాఠశాల, రామచంద్రపురం",36043890663
1084,TSSWREIS KONDAPUR(BOYS),"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలురు), కొండాపూర్, గిర్మాపూర్",36043500403
1085,GOVT.HS TD GUTTA MBNR,"ప్రభుత్వ ఉన్నత పాఠశాల, టి.డి గుట్ట, మహాబుబ్‌నగర్",36072590812
1086,PRAGATHI KODAIR,"ప్రగతి ఉన్నత పాఠశాల, కొడైర్",36074901109
1087,TSMS KOTHAKOTA,"తెలంగాణ మోడల్ పాఠశాల, కొత్తకోట",36073600664
1088,TSREIS WANAPARTHY,"తెలంగాణ గురుకుల పాఠశాల, వనపర్తి",36075190817
1089,SAHITHI VIDYA NIKETHAN,"సాహితీ విద్యా నికేతన్ టెక్నో పాఠశాల, ఇస్నాపూర్",36043790309
1090,KRISHNAVENI TALENT SCHOL,"కృష్ణవేణి టాలెంట్ పాఠశాల, సిద్దిపేట",36041691234
1091,VISWASHANTHI UP PULLUR,"విశ్వశాంతి ప్రాథమికోన్నత పాఠశాల, పుల్లూర్",36076102904
1092,UNIVERSAL CENTRAL METTUGADDA,"యూనివర్సల్ సెంట్రల్ పాఠశాల, మెట్టుగడ్డ, మహాబుబ్‌నగర్",36072590498
1093,TSBCWRIS (G) KALWAKURTHY,"తెలంగాణ బిసి సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలికలు), కల్వకుర్తి",36072000730
1094,TSTWREIS (B) MANNANUR,"తెలంగాణ గిరిజన సంక్షేమ గురుకుల పాఠశాల (బాలురు), మన్ననూర్",36074500110
1095,"IQRA GRAM WNP OLD BAZAR, WANAPARTHY","ఇక్ర గ్రామర్ పాఠశాల, ఓల్డ్ బజార్, వనపర్తి",36075190781
1096,TW GOVT. AHS JRPALLY,"తెలంగాణ గిరిజన ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల, జె.ఆర్.పల్లి, అమ్రాబాద్",36074500424
1097,SRI SAI VM PEBBAIR,"శ్రీ సాయి విద్యా మందిర్ పాఠశాల, పెబ్బైర్",36075301134
1098,V.V.MANDIR KORPOLE,"వి.వి.మందిర్ పాఠశాల, కోర్పోలె ",36043302304
1099,TSMS DK THANDA,"తెలంగాణ మోడల్ పాఠశాల, డి.కె తాండ, మానాజీపేట్ ",36073801809
1100,VIVEKANANDA PATASHALA,"వివేకానంద పాఠశాల, అల్లిపూర్",36041700314
1101,SAI SHANTHI FARUQNAGAR,"సాయి శాంతి పాఠశాల, ఫరూక్‌నగర్",36071290265
1102,KERALA PUBLIC NARAYANAPET,"కేరళ పబ్లిక్ పాఠశాల, నారాయణపేట్ ",36072990639
1103,GOVT.HS KOSGI,"ప్రభుత్వ ఉన్నత పాఠశాల, కోస్గి ",36070300827
1104,SARASWATHI VM MEDIKONDA,"సరస్వతి విద్యా మందిర్ పాఠశాల, మేడికొండ",36075801308
1105,GOVT.HS KOLLAPUR,"ప్రభుత్వ ఉన్నత పాఠశాల, కొల్లాపూర్",36076401617
